Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Katerina Kurková-Emmons,2008,1,1,0
Lyubov Galkina,2004,1,1,0
Mariya Grozdeva,2004,1,0,1
Lee Bo-Na,2004,0,1,1
Mikhail Nestruyev,2004,1,1,0
Igor Basinsky,2000,0,1,1
Tao Luna,2000,1,1,0
Kim Crow,2012,0,1,1
Georgeta Damian-Andrunache,2008,1,0,1
Viorica Susanu,2008,1,0,1
Georgeta Damian-Andrunache,2004,2,0,0
Viorica Susanu,2004,2,0,0
Georgeta Damian-Andrunache,2000,2,0,0
Doina Ignat,2000,2,0,0
Pieta van Dishoeck,2000,0,2,0
Eeke van Nes,2000,0,2,0
Bill Demong,2010,1,1,0
Bernhard Gruber,2010,1,0,1
Magnus Moan,2006,0,1,1
Ronny Ackermann,2002,0,2,0
Jaakko Tallus,2002,1,1,0
Denis Ablyazin,2012,0,1,1
Chen Yibing,2012,1,1,0
Gabby Douglas,2012,2,0,0
Feng Zhe,2012,2,0,0
Sandra Izbasa,2012,1,0,1
Viktoriya Komova,2012,0,2,0
McKayla Maroney,2012,1,1,0
Marcel Nguyen,2012,0,2,0
Mariya Paseka,2012,0,1,1
Catalina Ponor,2012,0,1,1
Louis Smith,2012,0,1,1
Max Whitlock,2012,0,0,2
Chen Yibing,2008,2,0,0
Anton Golotsutskov,2008,0,0,2
He Kexin,2008,2,0,0
Jonathan Horton,2008,0,1,1
Sandra Izbasa,2008,1,0,1
Li Xiaopeng,2008,2,0,0
Kohei Uchimura,2008,0,2,0
Xiao Qin,2008,2,0,0
Alexandra Eremia,2004,1,0,1
Annia Hatch,2004,0,2,0
Terin Humphrey,2004,0,2,0
Takehiro Kashima,2004,1,0,1
Svetlana Khorkina,2004,0,1,1
Courtney Kupets,2004,0,1,1
Anna Pavlova,2004,0,0,2
Monica Rosu,2004,2,0,0
Dana Sofronie,2004,1,1,0
Hiroyuki Tomita,2004,1,1,0
Marius Urzica,2004,0,1,1
Isao Yoneda,2004,1,0,1
Yordan Yovchev,2004,0,1,1
Oleksandr Beresh,2000,0,1,1
Aleksey Bondarenko,2000,0,1,1
Lee Ju-Hyeong,2000,0,1,1
Li Xiaopeng,2000,2,0,0
Liu Xuan,2000,1,0,1
Maria Olaru,2000,1,1,0
Yelena Produnova,2000,0,1,1
Andreea Raducan,2000,1,1,0
Yang Wei,2000,1,1,0
Yordan Yovchev,2000,0,0,2
Elisa Di Francisca,2012,2,0,0
Arianna Errigo,2012,1,1,0
Diego Occhiuzzi,2012,0,1,1
Sun Yujie,2012,1,0,1
Valentina Vezzali,2012,1,0,1
Stefano Carozzo,2008,0,0,2
Margherita Granbassi,2008,0,0,2
Sada Jacobson,2008,0,1,1
Fabrice Jeannet,2008,1,1,0
Nicolas Lopez,2008,1,1,0
Matteo Tagliariol,2008,1,0,1
Valentina Vezzali,2008,1,0,1
Becca Ward,2008,0,0,2
Mariel Zagunis,2008,1,0,1
Andrea Cassarà,2004,1,0,1
Laura Flessel-Colovic,2004,0,1,1
Aldo Montano,2004,1,1,0
Maureen Nisima,2004,0,0,2
Salvatore Sanzo,2004,1,1,0
Mathieu Gourdain,2000,0,2,0
Gianna Hablützel-Bürki,2000,0,2,0
Rita König,2000,0,1,1
Wiradech Kothny,2000,0,0,2
Hugues Obry,2000,0,2,0
Giovanna Trillini,2000,1,0,1
Valentina Vezzali,2000,2,0,0
Sandra Auffarth,2012,1,0,1
Laura Bechtolsheimer,2012,1,0,1
Adelinde Cornelissen,2012,0,1,1
Charlotte Dujardin,2012,2,0,0
Michael Jung,2012,2,0,0
Gerco Schröder,2012,0,2,0
Tina Cook,2008,0,0,2
Heike Kemmer,2008,1,0,1
Eric Lamaze,2008,1,1,0
Beezie Madden,2008,1,0,1
Hinrich Romeike,2008,2,0,0
Anky van Grunsven,2008,1,1,0
Isabell Werth,2008,1,1,0
Beatriz Ferrer-Salat,2004,0,1,1
Pippa Funnell,2004,0,1,1
Chris Kappler,2004,1,1,0
Marco Kutscher,2004,0,0,2
Leslie Law,2004,1,1,0
Ulla Salzgeber,2004,1,1,0
Kim Severson,2004,0,1,1
Andrew Hoy,2000,1,1,0
David O'Connor,2000,1,0,1
Ulla Salzgeber,2000,1,0,1
Anky van Grunsven,2000,1,1,0
Isabell Werth,2000,1,1,0
David Boudia,2012,1,0,1
Chen Ruolin,2012,2,0,0
He Zi,2012,1,1,0
Qin Kai,2012,1,1,0
Wu Minxia,2012,2,0,0
Ilya Zakharov,2012,1,1,0
Chen Ruolin,2008,2,0,0
Gleb Galperin,2008,0,0,2
Guo Jingjing,2008,2,0,0
Yuliya Pakhalina,2008,0,2,0
Qin Kai,2008,1,0,1
Wang Xin,2008,1,0,1
Wu Minxia,2008,1,0,1
Guo Jingjing,2004,2,0,0
Mathew Helm,2004,0,1,1
Lao Lishi,2004,1,1,0
Chantelle Michell-Newbery,2004,1,0,1
Robert Newbery,2004,0,0,2
Yuliya Pakhalina,2004,0,1,1
Tian Liang,2004,1,0,1
Wu Minxia,2004,1,1,0
Fu Mingxia,2000,1,1,0
Guo Jingjing,2000,0,2,0
Hu Jia,2000,0,2,0
Li Na,2000,1,1,0
Anne Montminy,2000,0,1,1
Tian Liang,2000,1,1,0
Xiong Ni,2000,2,0,0
Grégory Baugé,2012,0,2,0
Ed Clancy,2012,1,0,1
Sarah Hammer,2012,0,2,0
Chris Hoy,2012,2,0,0
Jason Kenny,2012,2,0,0
Maximilian Levy,2012,0,1,1
Anna Meares,2012,1,0,1
Vicki Pendleton,2012,1,1,0
Laura Trott,2012,2,0,0
Olga Zabelinskaya,2012,0,0,2
Mickaël Bourgain,2008,0,1,1
Fabian Cancellara,2008,1,1,0
Jason Kenny,2008,1,1,0
Joan Llaneras,2008,1,1,0
Hayden Roulston,2008,0,1,1
Bradley Wiggins,2008,2,0,0
Ryan Bayley,2004,2,0,0
Graeme Brown,2004,2,0,0
Sergi Escobar,2004,0,0,2
Rob Hayles,2004,0,1,1
Brad McGee,2004,1,1,0
Anna Meares,2004,1,0,1
Stefan Nimke,2004,1,0,1
Olga Slyusareva,2004,1,0,1
Arnaud Tournant,2004,0,1,1
René Wolff,2004,1,0,1
Leontien Zijlaard-van Moorsel,2004,1,0,1
Félicia Ballanger,2000,2,0,0
