Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Aleksey Kovalyov,2002,0,0,1
Igor Kravchuk,2002,0,0,1
Oleg Kvasha,2002,0,0,1
Igor Larionov,2002,0,0,1
Maria Larsson,2002,0,0,1
John LeClair,2002,0,1,0
Brian Leetch,2002,0,1,0
Mario Lemieux,2002,1,0,0
Ylva Lindberg,2002,0,0,1
Eric Lindros,2002,1,0,0
Ulrica Lindström,2002,0,0,1
Shelley Looney,2002,0,1,0
Al MacInnis,2002,1,0,0
Vladimir Malakhov,2002,0,0,1
Danny Markov,2002,0,0,1
Kim Martin,2002,0,0,1
Sue Merz,2002,0,1,0
Aaron Miller,2002,0,1,0
Boris Mironov,2002,0,0,1
A. J. Mleczko,2002,0,1,0
Mike Modano,2002,0,1,0
Tara Mounsey,2002,0,1,0
Scott Niedermayer,2002,1,0,0
Joe Nieuwendyk,2002,1,0,0
Andrey Nikolishin,2002,0,0,1
Owen Nolan,2002,1,0,0
Caroline Ouellette,2002,1,0,0
Mike Peca,2002,1,0,0
Josefin Pettersson,2002,0,0,1
Cherie Piper,2002,1,0,0
Tom Poti,2002,0,1,0
Cheryl Pounder,2002,1,0,0
Chris Pronger,2002,1,0,0
Brian Rafalski,2002,0,1,0
Mike Richter,2002,0,1,0
Jeremy Roenick,2002,0,1,0
Brian Rolston,2002,0,1,0
Maria Rooth,2002,0,0,1
Angela Ruggiero,2002,0,1,0
Danijela Rundqvist,2002,0,0,1
Joe Sakic,2002,1,0,0
Sergey Samsonov,2002,0,0,1
Evelina Samuelsson,2002,0,0,1
Jenny Schmidgall-Potter,2002,0,1,0
Brendan Shanahan,2002,1,0,0
Tammy Lee Shewchuk,2002,1,0,0
Therese Sjölander,2002,0,0,1
Sami Jo Small,2002,1,0,0
Ryan Smyth,2002,1,0,0
Colleen Sostorics,2002,1,0,0
Kim St-Pierre,2002,1,0,0
Vicky Sunohara,2002,1,0,0
Gary Suter,2002,0,1,0
Keith Tkachuk,2002,0,1,0
Sarah Tueting,2002,0,1,0
Oleg Tverdovsky,2002,0,0,1
Anna Vikman,2002,0,0,1
Lyndsay Wall,2002,0,1,0
Doug Weight,2002,0,1,0
Krissy Wendell,2002,0,1,0
Hayley Wickenheiser,2002,1,0,0
Aleksey Yashin,2002,0,0,1
Mike York,2002,0,1,0
Scott Young,2002,0,1,0
Steve Yzerman,2002,1,0,0
Aleksey Zhamnov,2002,0,0,1
,2012,0,1,0
,2012,0,1,0
Marilyn Agliotti,2012,1,0,0
Lucha Aymar,2012,0,1,0
Sander Baart,2012,0,1,0
Billy Bakker,2012,0,1,0
Marcel Balkestein,2012,0,1,0
Ashleigh Ball,2012,0,0,1
Noel Barrionuevo,2012,0,1,0
Laura Bartlett,2012,0,0,1
Nathan Burgers,2012,0,0,1
Matthew Butturini,2012,0,0,1
Joel Carroll,2012,0,0,1
Martina Cavallero,2012,0,1,0
Chris Ciriello,2012,0,0,1
Crista Cullen,2012,0,0,1
Silvina D'Elia,2012,0,1,0
Alex Danson,2012,0,0,1
Merel de Blaey,2012,1,0,0
Eva de Goede,2012,1,0,0
Teun de Nooijer,2012,0,1,0
Bob de Voogd,2012,0,1,0
Sander de Wijn,2012,0,1,0
Liam De Young,2012,0,0,1
Timothy Deavin,2012,0,0,1
Oskar Deecke,2012,1,0,0
Carlien Dirkse van den Heuvel,2012,1,0,0
Jamie Dwyer,2012,0,0,1
Floris Evers,2012,0,1,0
Russell Ford,2012,0,0,1
Florian Fuchs,2012,1,0,0
Moritz Fürste,2012,1,0,0
Maartje Goderie,2012,1,0,0
Matt Gohdes,2012,0,0,1
Kieran Govers,2012,0,0,1
Florencia Habif,2012,0,1,0
Martin Häner,2012,1,0,0
Tobias Hauke,2012,1,0,0
Rogier Hofman,2012,0,1,0
Ellen Hoog,2012,1,0,0
Tim Jenniskens,2012,0,1,0
Wouter Jolie,2012,0,1,0
Kelly Jonker,2012,1,0,0
Fergus Kavanagh,2012,0,0,1
Robbert Kemperman,2012,0,1,0
Mark Knowles,2012,0,0,1
Oliver Korn,2012,1,0,0
Kim Lammers,2012,1,0,0
Rosario Luchetti,2012,0,1,0
Sofia Maccari,2012,0,1,0
Hannah Macleod,2012,0,0,1
Emily Maguire,2012,0,0,1
Delfina Merino,2012,0,1,0
Max Müller,2012,1,0,0
María Mutio,2012,0,1,0
Eddie Ockenden,2012,0,0,1
Simon Orchard,2012,0,0,1
Ann Panter,2012,0,0,1
Maartje Paumen,2012,1,0,0
Sophie Polkamp,2012,1,0,0
Jan Philipp Rabente,2012,1,0,0
Carla Rebecchi,2012,0,1,0
Helen Richardson,2012,0,0,1
Ana Rodríguez,2012,0,1,0
Chloe Rogers,2012,0,0,1
Rocio Sánchez,2012,0,1,0
Maru Scarone,2012,0,1,0
Joyce Sombroek,2012,1,0,0
Dani Sruoga,2012,0,1,0
Jose Sruoga,2012,0,1,0
Jaap Stockmann,2012,0,1,0
Beth Storry,2012,0,0,1
Thilo Stralkowski,2012,1,0,0
Matthew Swann,2012,0,0,1
Sarah Thomas,2012,0,0,1
Glenn Turner,2012,0,0,1
Georgie Twigg,2012,0,0,1
Laura Unsworth,2012,0,0,1
Naomi van As,2012,1,0,0
Robert van der Horst,2012,0,1,0
Mink van der Weerden,2012,0,1,0
Margot van Geffen,2012,1,0,0
Caia van Maasakker,2012,1,0,0
Kitty van Male,2012,1,0,0
Valentin Verga,2012,0,1,0
Klaas Vermeulen,2012,0,1,0
Kate Walsh,2012,0,0,1
Sally Walton,2012,0,0,1
Max Weinhold,2012,1,0,0
Lidewij Welten,2012,1,0,0
Christopher Wesley,2012,1,0,0
Roderick Weusthof,2012,0,1,0
Benjamin Weß,2012,1,0,0
Timo Weß,2012,1,0,0
Nicola White,2012,0,0,1
Matthias Witthaus,2012,1,0,0
Christopher Zeller,2012,1,0,0
Philipp Zeller,2012,1,0,0
Des Abbott,2008,0,0,1
Marilyn Agliotti,2008,1,0,0
Magdalena Aicega,2008,0,0,1
David Alegre,2008,0,1,0
Ramón Alegre,2008,0,1,0
Pol Amat,2008,0,1,0
Eduard Arbós,2008,0,1,0
Lucha Aymar,2008,0,0,1
Noel Barrionuevo,2008,0,0,1
Sebastian Biederlack,2008,1,0,0
Minke Booij,2008,1,0,0
Travis Brooks,2008,0,0,1
Kiel Brown,2008,0,0,1
Claudia Burkart,2008,0,0,1
Chen Qiuqi,2008,0,1,0
Chen Zhaoxia,2008,0,1,0
Cheng Hui,2008,0,1,0
Quico Cortés,2008,0,1,0
Eva de Goede,2008,1,0,0
Lisanne de Roever,2008,1,0,0
Liam De Young,2008,0,0,1
Wieke Dijkstra,2008,1,0,0
Luke Doerner,2008,0,0,1
Jamie Dwyer,2008,0,0,1
Sergi Enrique,2008,0,1,0
Alex Fábregas,2008,0,1,0
Kiko Fábregas,2008,0,1,0
Juan Fernández,2008,0,1,0
Santi Freixa,2008,0,1,0
Fu Baorong,2008,0,1,0
Moritz Fürste,2008,1,0,0
Gao Lihua,2008,0,1,0
Sole García,2008,0,0,1
Rodrigo Garza,2008,0,1,0
Bevan George,2008,0,0,1
Maartje Goderie,2008,1,0,0
Mariana González,2008,0,0,1
David Guest,2008,0,0,1
Alejandra Gulla,2008,0,0,1
Rob Hammond,2008,0,0,1
Tobias Hauke,2008,1,0,0
Maripi Hernández,2008,0,0,1
Ellen Hoog,2008,1,0,0
Huang Junxia,2008,0,1,0
Gisi Kañevsky,2008,0,0,1
Fergus Kavanagh,2008,0,0,1
Florian Keller,2008,1,0,0
Mark Knowles,2008,0,0,1
Oliver Korn,2008,1,0,0
Stephen Lambert,2008,0,0,1
Li Hongxia,2008,0,1,0
Li Shuang,2008,0,1,0
Rosario Luchetti,2008,0,0,1
Ma Yibo,2008,0,1,0
Mechi Margalot,2008,0,0,1
Eli Matheson,2008,0,0,1
Niklas Meinert,2008,1,0,0
Jan-Marco Montag,2008,1,0,0
Fátima Moreira de Melo,2008,1,0,0
Eefke Mulder,2008,1,0,0
Max Müller,2008,1,0,0
Carlos Nevado,2008,1,0,0
Eddie Ockenden,2008,0,0,1
Roc Oliva,2008,0,1,0
Pan Fengzhen,2008,0,1,0
Maartje Paumen,2008,1,0,0
Sophie Polkamp,2008,1,0,0
Carla Rebecchi,2008,0,0,1
Ren Ye,2008,0,1,0
Xavier Ribas,2008,0,1,0
Mariana Rossi,2008,0,0,1
Mariné Russo,2008,0,0,1
Albert Sala,2008,0,1,0
Janneke Schopman,2008,1,0,0
Grant Schubert,2008,0,0,1
Minke Smabers,2008,1,0,0
Andrew Smith,2008,0,0,1
Víctor Sojo,2008,0,1,0
Song Qingling,2008,0,1,0
Belén Succi,2008,0,0,1
Tang Chunling,2008,0,1,0
Eddie Tubau,2008,0,1,0
Naomi van As,2008,1,0,0
Miek van Geenhuizen,2008,1,0,0
Paola Vukojicic,2008,0,0,1
Max Weinhold,2008,1,0,0
Tibor Weißenborn,2008,1,0,0
Matt Wells,2008,0,0,1
Lidewij Welten,2008,1,0,0
Benjamin Weß,2008,1,0,0
Timo Weß,2008,1,0,0
Philip Witte,2008,1,0,0
Matthias Witthaus,2008,1,0,0
Christopher Zeller,2008,1,0,0
Philipp Zeller,2008,1,0,0
Zhang Yimeng,2008,0,1,0
Zhao Yudiao,2008,0,1,0
Zhou Wanfeng,2008,0,1,0
Magdalena Aicega,2004,0,0,1
Mariela Antoniska,2004,0,0,1
Clemens Arnold,2004,0,0,1
Inés Arrondo,2004,0,0,1
Lucha Aymar,2004,0,0,1
Tina Bachmann,2004,1,0,0
Christoph Bechmann,2004,0,0,1
Sebastian Biederlack,2004,0,0,1
Minke Booij,2004,0,1,0
Ageeth Boomgaardt,2004,0,1,0
Michael Brennan,2004,1,0,0
Travis Brooks,2004,1,0,0
Matthijs Brouwer,2004,0,1,0
Ronald Brouwer,2004,0,1,0
Claudia Burkart,2004,0,0,1
Dean Butler,2004,1,0,0
Caroline Casaretto,2004,1,0,0
Philipp Crone,2004,0,0,1
Chantal de Bruijn,2004,0,1,0
Teun de Nooijer,2004,0,1,0
Lisanne de Roever,2004,0,1,0
Liam De Young,2004,1,0,0
Jeroen Delmeé,2004,0,1,0
Geert-Jan Derikx,2004,0,1,0
Rob Derikx,2004,0,1,0
Marina Di Giacomo,2004,0,0,1
Mijntje Donners,2004,0,1,0
Eike Duckwitz,2004,0,0,1
Jamie Dwyer,2004,1,0,0
Nathan Eglington,2004,1,0,0
Marten Eikelboom,2004,0,1,0
Christoph Eimer,2004,0,0,1
Troy Elder,2004,1,0,0
Björn Emmerling,2004,0,0,1
Nadine Ernsting-Krienke,2004,1,0,0
Floris Evers,2004,0,1,0
Sole García,2004,0,0,1
Bevan George,2004,1,0,0
Mariana González,2004,0,0,1
Franziska Gude,2004,1,0,0
Alejandra Gulla,2004,0,0,1
Mandy Haase,2004,1,0,0
Rob Hammond,2004,1,0,0
Maripi Hernández,2004,0,0,1
Mark Hickman,2004,1,0,0
Erik Jazet,2004,0,1,0
Sylvia Karres,2004,0,1,0
Natascha Keller,2004,1,0,0
Karel Klaver,2004,0,1,0
Denise Klecker,2004,1,0,0
Mark Knowles,2004,1,0,0
Anke Kühn,2004,1,0,0
Florian Kunz,2004,0,0,1
Badri Latif,2004,1,0,0
Heike Lätzsch,2004,1,0,0
Sonja Lehmann,2004,1,0,0
Brent Livermore,2004,1,0,0
Jesse Mahieu,2004,0,1,0
Mechi Margalot,2004,0,0,1
Michael McCann,2004,1,0,0
Björn Michel,2004,0,0,1
Fátima Moreira de Melo,2004,0,1,0
Stephen Mowlam,2004,1,0,0
Eefke Mulder,2004,0,1,0
Silke Müller,2004,1,0,0
Vanina Oneto,2004,0,0,1
Rob Reckers,2004,0,1,0
Sascha Reinelt,2004,0,0,1
Fanny Rinne,2004,1,0,0
Marion Rodewald,2004,1,0,0
Ceci Rognoni,2004,0,0,1
Mariné Russo,2004,0,0,1
Justus Scharowsky,2004,0,0,1
Maartje Scheepstra,2004,0,1,0
Janneke Schopman,2004,0,1,0
Grant Schubert,2004,1,0,0
Christian Schulte,2004,0,0,1
Clarinda Sinnige,2004,0,1,0
Minke Smabers,2004,0,1,0
Jiske Snoeks,2004,0,1,0
Ayelén Stepnik,2004,0,0,1
Taeke Taekema,2004,0,1,0
Macha van der Vaart,2004,0,1,0
Sander van der Weide,2004,0,1,0
Miek van Geenhuizen,2004,0,1,0
Lieve van Kessel,2004,0,1,0
Klaas Veering,2004,0,1,0
Guus Vogels,2004,0,1,0
Paola Vukojicic,2004,0,0,1
Louisa Walter,2004,1,0,0
Tibor Weißenborn,2004,0,0,1
Matt Wells,2004,1,0,0
Timo Weß,2004,0,0,1
Matthias Witthaus,2004,0,0,1
Christopher Zeller,2004,0,0,1
Julia Zwehl,2004,1,0,0
Magdalena Aicega,2000,0,1,0
Katie Allen,2000,1,0,0
Alyson Annan,2000,1,0,0
Mariela Antoniska,2000,0,1,0
Inés Arrondo,2000,0,1,0
Lucha Aymar,2000,0,1,0
Minke Booij,2000,0,0,1
Ageeth Boomgaardt,2000,0,0,1
Michael Brennan,2000,0,0,1
Jacques Brinkman,2000,1,0,0
Jaap-Derk Buma,2000,1,0,0
Adam Commens,2000,0,0,1
Stephen Davies,2000,0,0,1
Teun de Nooijer,2000,1,0,0
Julie Deiters,2000,0,0,1
Jeroen Delmeé,2000,1,0,0
Damon Diletti,2000,0,0,1
Mijntje Donners,2000,0,0,1
Lachlan Dreher,2000,0,0,1
Jason Duff,2000,0,0,1
Marten Eikelboom,2000,1,0,0
Troy Elder,2000,0,0,1
Jimmy Elmer,2000,0,0,1
Renita Farrell-Garard,2000,1,0,0
María Paz Ferrari,2000,0,1,0
Anabel Gambero,2000,0,1,0
Gang Geon-Uk,2000,0,1,0
Sole García,2000,0,1,0
Paul Gaudoin,2000,0,0,1
Piet-Hein Geeris,2000,1,0,0
Han Hyeong-Bae,2000,0,1,0
Juliet Haslam,2000,1,0,0
Rechelle Hawkes,2000,1,0,0
Maripi Hernández,2000,0,1,0
Stephen Holt,2000,0,0,1
Nikki Hudson,2000,1,0,0
Hwang Jong-Hyeon,2000,0,1,0
Im Jeong-U,2000,0,1,0
Im Jong-Cheon,2000,0,1,0
Rachel Imison,2000,1,0,0
Ronald Jansen,2000,1,0,0
Erik Jazet,2000,1,0,0
Jeon Jong-Gwon,2000,0,1,0
Jeon Jong-Ha,2000,0,1,0
Ji Seong-Hwan,2000,0,1,0
Kim Cheong-Hwan,2000,0,1,0
Kim Gyeong-Seok,2000,0,1,0
Kim Jeong-Cheol,2000,0,1,0
Kim Yong-Bae,2000,0,1,0
Kim Yun,2000,0,1,0
Brent Livermore,2000,0,0,1
Bram Lomans,2000,1,0,0
Clover Maitland,2000,1,0,0
Laura Maiztegui,2000,0,1,0
Mechi Margalot,2000,0,1,0
Karina Masotta,2000,0,1,0
Claire Mitchell-Taverner,2000,1,0,0
Fátima Moreira de Melo,2000,0,0,1
Jenny Morris,2000,1,0,0
Vanina Oneto,2000,0,1,0
Alison Peek,2000,1,0,0
Triny Powell,2000,1,0,0
Lisa Powell-Carruthers,2000,1,0,0
Jorgelina Rimoldi,2000,0,1,0
Ceci Rognoni,2000,0,1,0
Seo Jong-Ho,2000,0,1,0
Clarinda Sinnige,2000,0,0,1
Angie Skirving-Lambert,2000,1,0,0
Hanneke Smabers,2000,0,0,1
Minke Smabers,2000,0,0,1
Song Seong-Tae,2000,0,1,0
Daniel Sproule,2000,0,0,1
Jay Stacy,2000,0,0,1
Kate Starre,2000,1,0,0
Ayelén Stepnik,2000,0,1,0
Margje Teeuwen,2000,0,0,1
Carole Thate,2000,0,0,1
Daphne Touw,2000,0,0,1
Julie Towers,2000,1,0,0
Fleur van de Kieft,2000,0,0,1
Dillianne van den Boogaard,2000,0,0,1
Macha van der Vaart,2000,0,0,1
Sander van der Weide,2000,1,0,0
Suzan van der Wielen,2000,0,0,1
Wouter van Pelt,2000,1,0,0
Diederik van Weel,2000,1,0,0
Remco van Wijk,2000,1,0,0
Stephan Veen,2000,1,0,0
Myrna Veenstra,2000,0,0,1
Craig Victory,2000,0,0,1
Guus Vogels,2000,1,0,0
Paola Vukojicic,2000,0,1,0
Matt Wells,2000,0,0,1
Peter Wind,2000,1,0,0
Yeo Wun-Gon,2000,0,1,0
Michael York,2000,0,0,1
Luc Abalo,2012,1,0,0
William Accambray,2012,1,0,0
Macarena Aguilar,2012,0,0,1
Nely Alberto,2012,0,0,1
Mirko Alilovic,2012,0,0,1
Jessica Alonso,2012,0,0,1
Ida Alstad,2012,1,0,0
Vanessa Amorós,2012,0,0,1
Kim Andersson,2012,0,1,0
Mattias Andersson,2012,0,1,0
Ivano Balic,2012,0,0,1
Xavier Barachet,2012,1,0,0
Sonja Barjaktarovic,2012,0,1,0
Andrea Barno,2012,0,0,1
Damir Bicanic,2012,0,0,1
Karoline Dyhre Breivang,2012,1,0,0
Andela Bulatovic,2012,0,1,0
Katarina Bulatovic,2012,0,1,0
Denis Buntic,2012,0,0,1
Mihaela Ciobanu,2012,0,0,1
Verónica Cuadrado,2012,0,0,1
Ivan Cupic,2012,0,0,1
Didier Dinart,2012,1,0,0
Dalibor Doder,2012,0,1,0
Domagoj Duvnjak,2012,0,0,1
Niclas Ekberg,2012,0,1,0
Kim Ekdahl du Rietz,2012,0,1,0
Patricia Elorza,2012,0,0,1
Beatriz Fernández,2012,0,0,1
Begoña Fernández,2012,0,0,1
Jérôme Fernandez,2012,1,0,0
Marit Malm Frafjord,2012,1,0,0
Bertrand Gille,2012,1,0,0
Guillaume Gille,2012,1,0,0
Jakov Gojun,2012,0,0,1
Kari Aalvik Grimsbø,2012,1,0,0
Michaël Guigou,2012,1,0,0
Mattias Gustafsson,2012,0,1,0
Katrine Lunde Haraldsen,2012,1,0,0
Camilla Herrem,2012,1,0,0
Samuel Honrubia,2012,1,0,0
Zlatko Horvat,2012,0,0,1
Johan Jakobsson,2012,0,1,0
Magnus Jernemyr,2012,0,1,0
Kari Mette Johansen,2012,1,0,0
Guillaume Joli,2012,1,0,0
Marija Jovanovic,2012,0,1,0
Jonas Källman,2012,0,1,0
Nikola Karabatic,2012,1,0,0
Daouda Karaboué,2012,1,0,0
Tobias Karlsson,2012,0,1,0
Milena Kneževic,2012,0,1,0
Marko Kopljar,2012,0,0,1
Amanda Kurtovic,2012,1,0,0
Blaženko Lackovic,2012,0,0,1
Jonas Larholm,2012,0,1,0
Suzana Lazovic,2012,0,1,0
Marta López,2012,0,0,1
Venio Losert,2012,0,0,1
Kristine Lunde-Borgersen,2012,1,0,0
Heidi Løke,2012,1,0,0
Marta Mangué,2012,0,0,1
Carmen Martín,2012,0,0,1
Majda Mehmedovic,2012,0,1,0
Radmila Miljanic,2012,0,1,0
Daniel Narcisse,2012,1,0,0
Silvia Navarro,2012,0,0,1
Andreas Nilsson,2012,0,1,0
Ivan Nincevic,2012,0,0,1
Tonje Nøstvold,2012,1,0,0
Thierry Omeyer,2012,1,0,0
Fredrik Petersen,2012,0,1,0
Eli Pinedo,2012,0,0,1
Bojana Popovic,2012,0,1,0
Jova Radicevic,2012,0,1,0
Ana Radovic,2012,0,1,0
Linn-Kristin Riegelhuth Koren,2012,1,0,0
Maja Savic,2012,0,1,0
Johan Sjöstrand,2012,0,1,0
Gøril Snorroeggen,2012,1,0,0
Cédric Sorhaindo,2012,1,0,0
Manuel Štrlek,2012,0,0,1
Linn Jørum Sulland,2012,1,0,0
Igor Vori,2012,0,0,1
Marina Vukcevic,2012,0,1,0
Drago Vukovic,2012,0,0,1
Ana Ðokic,2012,0,1,0
Ragnhild Aamodt,2008,1,0,0
Luc Abalo,2008,1,0,0
Joël Abati,2008,1,0,0
An Jeong-Hwa,2008,0,0,1
Yekaterina Andryushina,2008,0,1,0
Sturla Ásgeirsson,2008,0,1,0
Arnór Atlason,2008,0,1,0
Bae Min-Hee,2008,0,0,1
David Barrufet,2008,0,0,1
Jon Belaustegui,2008,0,0,1
Inna Bliznova,2008,0,1,0
Karoline Dyhre Breivang,2008,1,0,0
Cédric Burdet,2008,1,0,0
Choi Im-Jeong,2008,0,0,1
David Davis,2008,0,0,1
Didier Dinart,2008,1,0,0
Yelena Dmitriyeva,2008,0,1,0
Alberto Entrerríos,2008,0,0,1
Raúl Entrerríos,2008,0,0,1
Jérôme Fernandez,2008,1,0,0
Marit Malm Frafjord,2008,1,0,0
Rubén Garabaya,2008,0,0,1
Juan García,2008,0,0,1
Logi Geirsson,2008,0,1,0
Bertrand Gille,2008,1,0,0
Guillaume Gille,2008,1,0,0
Olivier Girault,2008,1,0,0
Kari Aalvik Grimsbø,2008,1,0,0
Michaël Guigou,2008,1,0,0
Róbert Gunnarsson,2008,0,1,0
Björgvin Gustavsson,2008,0,1,0
Snorri Guðjónsson,2008,0,1,0
Hreiðar Guðmundsson,2008,0,1,0
Ásgeir Örn Hallgrímsson,2008,0,1,0
Gro Hammerseng,2008,1,0,0
Katrine Lunde Haraldsen,2008,1,0,0
Heo Sun-Yeong,2008,0,0,1
José Javier Hombrados,2008,0,0,1
Hong Jeong-Ho,2008,0,0,1
Ingimundur Ingimundarson,2008,0,1,0
Sverre Jakobsson,2008,0,1,0
Kari Mette Johansen,2008,1,0,0
Nikola Karabatic,2008,1,0,0
Daouda Karaboué,2008,1,0,0
Anna Kareyeva,2008,0,1,0
Christophe Kempé,2008,1,0,0
Kim Cha-Yeon,2008,0,0,1
Kim Nam-Sun,2008,0,0,1
Kim On-A,2008,0,0,1
Tonje Larsen,2008,1,0,0
Lee Min-Hui,2008,0,0,1
Demetrio Lozano,2008,0,0,1
Kristine Lunde-Borgersen,2008,1,0,0
Cristian Malmagro,2008,0,0,1
Yekaterina Marennikova,2008,0,1,0
Mun Pil-Hui,2008,0,0,1
Daniel Narcisse,2008,1,0,0
Katja Nyberg,2008,1,0,0
Tonje Nøstvold,2008,1,0,0
Oh Seong-Ok,2008,0,0,1
Oh Yeong-Ran,2008,0,0,1
Thierry Omeyer,2008,1,0,0
Park Jeong-Hui,2008,0,0,1
Cédric Paty,2008,1,0,0
Alexander Petersson,2008,0,1,0
Irina Poltoratskaya,2008,0,1,0
Yelena Polyonova,2008,0,1,0
Lyudmila Postnova,2008,0,1,0
Carlos Prieto,2008,0,0,1
Linn-Kristin Riegelhuth Koren,2008,1,0,0
Albert Rocas,2008,0,0,1
Oksana Romenskaya,2008,0,1,0
Iker Romero,2008,0,0,1
Nataliya Shipilova,2008,0,1,0
Mariya Sidorova,2008,0,1,0
Guðjón Valur Sigurðsson,2008,0,1,0
Sigfús Sigurðsson,2008,0,1,0
Gøril Snorroeggen,2008,1,0,0
Song Hai-Rim,2008,0,0,1
Ólafur Stefánsson,2008,0,1,0
Inna Suslina,2008,0,1,0
Else-Marthe Sørlie Lybekk,2008,1,0,0
Víctor Tomás,2008,0,0,1
Emiliya Turey,2008,0,1,0
Yana Uskova,2008,0,1,0
Kristine Andersen,2004,1,0,0
Ivano Balic,2004,1,0,0
Markus Baur,2004,0,1,0
Anastasiya Borodina,2004,0,0,1
Nataliya Borysenko,2004,0,0,1
Karen Brødsgaard,2004,1,0,0
Hanna Burmistrova,2004,0,0,1
Mikhail Chipurin,2004,0,0,1
Choi Im-Jeong,2004,0,1,0
Line Daugaard,2004,1,0,0
Davor Dominikovic,2004,1,0,0
Mark Dragunski,2004,0,1,0
Mirza Džomba,2004,1,0,0
Henning Fritz,2004,0,1,0
Katrine Fruelund,2004,1,0,0
Slavko Goluža,2004,1,0,0
Aleksandr Gorbatikov,2004,0,0,1
Vyacheslav Gorpishin,2004,0,0,1
Pascal Hens,2004,0,1,0
Heo Sun-Yeong,2004,0,1,0
Heo Yeong-Suk,2004,0,1,0
Iryna Honcharova,2004,0,0,1
Rikke Hørlykke,2004,1,0,0
Im O-Gyeong,2004,0,1,0
Jan-Olaf Immel,2004,0,1,0
Vitaly Ivanov,2004,0,0,1
Jang So-Hui,2004,0,1,0
Torsten Jansen,2004,0,1,0
Trine Jensen,2004,1,0,0
Nikša Kaleb,2004,1,0,0
Florian Kehrmann,2004,0,1,0
Kim Cha-Yeon,2004,0,1,0
Kim Hyeon-Ok,2004,0,1,0
Lotte Kiærskou,2004,1,0,0
Eduard Koksharov,2004,0,0,1
Aleksey Kostygov,2004,0,0,1
Stefan Kretzschmar,2004,0,1,0
Denis Krivoshlykov,2004,0,0,1
Vasily Kudinov,2004,0,0,1
Oleg Kuleshov,2004,0,0,1
Blaženko Lackovic,2004,1,0,0
Andrey Lavrov,2004,0,0,1
Lee Gong-Ju,2004,0,1,0
Lee Sang-Eun,2004,0,1,0
Nataliya Liapina,2004,0,0,1
Venio Losert,2004,1,0,0
Halyna Markushevska,2004,0,0,1
Valter Matoševic,2004,1,0,0
Petar Metlicic,2004,1,0,0
Henriette Mikkelsen,2004,1,0,0
Karin Mortensen,2004,1,0,0
Mun Gyeong-Ha,2004,0,1,0
Mun Pil-Hui,2004,0,1,0
Myeom Bok-Hui,2004,0,1,0
Louise Bager Nørgaard,2004,1,0,0
Oh Seong-Ok,2004,0,1,0
Oh Yeong-Ran,2004,0,1,0
Klaus-Dieter Petersen,2004,0,1,0
Rikke Petersen-Schmidt,2004,1,0,0
Sergey Pogorelov,2004,0,0,1
Olena Radchenko,2004,0,0,1
Oksana Raikhel,2004,0,0,1
Christian Ramota,2004,0,1,0
Aleksey Rastvortsev,2004,0,0,1
Christian Schwarzer,2004,0,1,0
Liudmyla Shevchenko,2004,0,0,1
Tetiana Shynkarenko,2004,0,0,1
Hanna Siukalo,2004,0,0,1
Rikke Skov,2004,1,0,0
Vlado Šola,2004,1,0,0
Denis Špoljaric,2004,1,0,0
Goran Šprem,2004,1,0,0
Daniel Stephan,2004,0,1,0
Camilla Thomsen,2004,1,0,0
Dmitry Torgovanov,2004,0,0,1
Josephine Touray,2004,1,0,0
Olena Tsyhytsia,2004,0,0,1
Aleksandr Tuchkin,2004,0,0,1
Maryna Verheliuk,2004,0,0,1
Mette Vestergaard,2004,1,0,0
Frank von Behren,2004,0,1,0
Igor Vori,2004,1,0,0
Drago Vukovic,2004,1,0,0
Wu Seon-Hui,2004,0,1,0
Olena Yatsenko,2004,0,0,1
Larysa Zaspa,2004,0,0,1
Christian Zeitz,2004,0,1,0
Volker Zerbe,2004,0,1,0
Vedran Zrnic,2004,1,0,0
Camilla Andersen,2000,1,0,0
Magnus Andersson,2000,0,1,0
Beatrix Balogh,2000,0,1,0
David Barrufet,2000,0,0,1
Martin Boquist,2000,0,1,0
Karen Brødsgaard,2000,1,0,0
Tina Bøttzau,2000,1,0,0
Rita Deli,2000,0,1,0
Kristine Duvholt,2000,0,0,1
Talant Duyshebayev,2000,0,0,1
Ann-Cathrin Eriksen,2000,0,0,1
Ágnes Farkas,2000,0,1,0
Andrea Farkas,2000,0,1,0
Dmitry Filippov,2000,1,0,0
Martin Frändesjö,2000,0,1,0
Mathias Franzén,2000,0,1,0
Katrine Fruelund,2000,1,0,0
Mateo Garralda,2000,0,0,1
Peter Gentzel,2000,0,1,0
Susann Goksør-Bjerkrheim,2000,0,0,1
Vyacheslav Gorpishin,2000,1,0,0
Kjersti Grini,2000,0,0,1
Maja Grønbek,2000,1,0,0
Rafael Guijosa,2000,0,0,1
Trine Haltvik,2000,0,0,1
Elisabeth Hilmo,2000,0,0,1
Anette Hoffmann-Møberg,2000,1,0,0
Mia Hundvin,2000,0,0,1
Anikó Kántor,2000,0,1,0
Oleg Khodkov,2000,1,0,0
Lotte Kiærskou,2000,1,0,0
Tonje Kjærgaard,2000,1,0,0
Beatrix Kökény,2000,0,1,0
Eduard Koksharov,2000,1,0,0
Janne Kolling,2000,1,0,0
Denis Krivoshlykov,2000,1,0,0
Vasily Kudinov,2000,1,0,0
Anita Kulcsár,2000,0,1,0
